iter	Passed	Remaining
0	4	402
1	7	391
2	10	348
3	13	331
4	17	338
5	21	334
6	24	330
7	28	324
8	32	324
9	35	321
10	38	308
11	40	293
12	42	281
13	43	268
14	45	256
15	47	250
16	50	244
17	51	234
18	52	225
19	54	216
20	55	208
21	56	200
22	57	192
23	59	186
24	60	180
25	62	177
26	64	174
27	65	168
28	66	163
29	67	157
30	68	152
31	70	148
32	70	143
33	72	139
34	73	135
35	74	131
36	75	129
37	78	127
38	79	125
39	81	121
40	82	118
41	82	114
42	84	111
43	84	108
44	85	104
45	86	101
46	87	99
47	89	97
48	91	95
49	94	94
50	94	91
51	95	88
52	96	85
53	97	83
54	98	80
55	99	77
56	100	75
57	101	73
58	102	71
59	103	69
60	105	67
61	107	66
62	108	63
63	109	61
64	110	59
65	111	57
66	112	55
67	114	53
68	115	51
69	117	50
70	118	48
71	121	47
72	123	45
73	124	43
74	126	42
75	127	40
76	128	38
77	130	36
78	132	35
79	134	33
80	136	31
81	137	30
82	139	28
83	139	26
84	140	24
85	141	23
86	143	21
87	144	19
88	145	18
89	146	16
90	147	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
